sent_time,chat_message,cluster_num,x,y
00:01:01.621000,hi !,8,-0.23769423,-1.3979746
00:01:01.680000,good day !,0,0.69350904,-0.14051901
00:01:01.811000,h\1\1,6,-0.9812609,-0.7538617
00:01:01.878000,the little plaster on his neck 💔,11,1.2496804,-0.19735499
00:01:02.066000,h\1\1,6,-0.9812609,-0.7538617
00:01:02.098000,hi,1,-0.86891156,-0.3875266
00:01:02.176000,h\1\1,6,-0.9812609,-0.7538617
00:01:02.417000,you look s\1\1 cute !,5,1.1312792,-0.49265584
00:01:02.436000,heyy,6,-1.0509142,-1.1937371
00:01:02.475000,bandaid ?,14,-0.41365474,-0.5798769
00:01:02.557000,h\1\1,6,-0.9812609,-0.7538617
00:01:02.564000,hi,1,-0.86891156,-0.3875266
00:01:02.591000,hi,1,-0.86891156,-0.3875266
00:01:02.712000,? !,14,-0.4190513,-1.0059983
00:01:02.728000,whats up,9,0.2391034,1.1794533
00:01:02.762000,lets g\1\1,8,-0.30282077,-1.1469659
00:01:03.551000,h\1\1,6,-0.9812609,-0.7538617
00:01:03.587000,heloo,6,-1.0838225,-1.1731426
00:01:03.594000,w\1\1p hi,8,-0.4530247,-1.276123
00:01:03.661000,h\1\1,6,-0.9812609,-0.7538617
00:01:03.664000,omg what happened ?,0,0.64391285,0.082214296
00:01:03.723000,hey ! <3,8,-0.1019433,-1.6144736
00:01:03.804000,h\1\1 ',14,-0.40066484,-0.8837412
00:01:03.845000,hope you're oka\1\1,0,0.63585544,0.033285324
00:01:03.951000,are you ok D:,11,1.2998749,0.20009531
00:01:03.960000,you look so cute today,15,1.1546495,0.481521
00:01:03.999000,is that a bandaid,15,1.1849883,0.90104496
00:01:04.046000,h\1\1,6,-0.9812609,-0.7538617
00:01:04.478000,hellow,6,-1.0457635,-1.2118422
00:01:04.522000,are you hurt ? :: :( (,2,1.6868981,-1.0355468
00:01:04.560000,hi,1,-0.86891156,-0.3875266
00:01:04.623000,"are you okay , ?",11,1.4484494,0.007822779
00:01:04.710000,VoHiYo,6,-1.0239676,-0.93025094
00:01:04.835000,hihi,6,-1.0821046,-1.3428615
00:01:04.878000,oof what happened to your neck ?,11,1.5244939,-0.03740448
00:01:04.971000,yesyesyesyesyesyesyes,6,-1.0479109,-0.8361575
00:01:05.081000,is your neck okay ?,15,1.3203982,0.4971632
00:01:05.109000,hello,1,-0.9108303,-0.45763686
00:01:05.421000,did you get hurt ?,11,1.5653977,0.36034003
00:01:05.501000,hol\1\1,6,-1.1690459,-1.4994569
00:01:05.549000,ell\1\1,6,-1.0623096,-1.257191
00:01:05.652000,hows toast,12,0.0029495507,-0.327171
00:01:05.692000,did you get hurt ?,11,1.5653977,0.36034003
00:01:05.798000,hi !,8,-0.23769423,-1.3979746
00:01:05.844000,hello,1,-0.9108303,-0.45763686
00:01:05.858000,h\1\1 !,8,-0.38318133,-1.6068476
00:01:05.944000,h\1\1,6,-0.9812609,-0.7538617
00:01:05.993000,are you okay,15,1.2392741,0.6326106
00:01:06.112000,are you ready guys ? we going to drink a lot,2,2.1630802,-0.71623945
00:01:06.174000,h\1\1,6,-0.9812609,-0.7538617
00:01:06.177000,hi,1,-0.86891156,-0.3875266
00:01:06.203000,nice cardigan y\1\1,14,-0.1826654,-0.623263
00:01:06.638000,hi,1,-0.86891156,-0.3875266
00:01:06.697000,h\1\1,6,-0.9812609,-0.7538617
00:01:06.704000,hello !,8,-0.25256678,-1.400702
00:01:06.712000,"good morning ! looking ,",5,0.9196237,-0.6959683
00:01:06.780000,hi,1,-0.86891156,-0.3875266
00:01:06.888000,what happened ?,0,0.602068,0.24684322
00:01:06.908000,good morning,9,0.16773131,1.0200858
00:01:07.022000,what happened,9,0.3866796,1.2381878
00:01:07.087000,hell\1\1,6,-1.047774,-1.1831256
00:01:07.099000,hello !,8,-0.25256678,-1.400702
00:01:07.112000,he\1\1\1\1,6,-1.0477854,-1.0807682
00:01:07.191000,h\1\1,6,-0.9812609,-0.7538617
00:01:07.236000,hey,1,-0.8624938,-0.014734271
00:01:07.554000,yeye,6,-1.0533253,-0.73165274
00:01:07.652000,hi !,8,-0.23769423,-1.3979746
00:01:07.685000,h\1\1,6,-0.9812609,-0.7538617
00:01:07.703000,hey sweets ! how are you ?,2,1.6755543,-0.65072817
00:01:07.769000,its !,9,0.21626207,0.49273676
00:01:07.897000,hi,1,-0.86891156,-0.3875266
00:01:07.900000,hell\1\1,6,-1.047774,-1.1831256
00:01:07.968000,hell\1\1 good,14,0.06518542,-0.45159855
00:01:08.102000,hello,1,-0.9108303,-0.45763686
00:01:08.167000,hello,1,-0.9108303,-0.45763686
00:01:08.215000,hell\1\1,6,-1.047774,-1.1831256
00:01:08.781000,aye !,8,-0.38840792,-1.1155677
00:01:08.816000,hi !,8,-0.23769423,-1.3979746
00:01:08.825000,hi !,8,-0.23769423,-1.3979746
00:01:08.897000,baby,7,-0.75727,0.66213834
00:01:08.944000,hell\1\1,6,-1.047774,-1.1831256
00:01:09.225000,h\1\1,6,-0.9812609,-0.7538617
00:01:09.230000,hell\1\1,6,-1.047774,-1.1831256
00:01:09.457000,are u ok ?,11,1.1857928,0.10736764
00:01:09.486000,hi,1,-0.86891156,-0.3875266
00:01:09.555000,scarf !,14,-0.28502992,-0.89260197
00:01:09.742000,hi b,14,-0.23068602,-0.847997
00:01:09.772000,"i ’ ve missed you , and it s only been one day",2,2.0546324,-0.3494371
00:01:09.789000,hello nice outfit,5,0.19476523,-0.6417105
00:01:09.802000,h\1\1,6,-0.9812609,-0.7538617
00:01:09.847000,i thought the bandaid was a tattoo xd,11,1.6881418,-0.16516362
00:01:09.918000,hello,1,-0.9108303,-0.45763686
00:01:09.998000,h\1\1 ! :) ),8,0.06486215,-1.9106241
00:01:10.218000,yaay,6,-1.0498302,-0.9591639
00:01:10.361000,you look nice today !,11,1.1147295,-0.1527313
00:01:10.566000,hello,1,-0.9108303,-0.45763686
00:01:10.671000,eyy,6,-1.103061,-0.8798991
00:01:10.716000,are you okay ?,11,1.3776151,0.29392362
00:01:10.790000,you look so cute !,11,1.1983182,-0.26628822
00:01:10.882000,h\1\1 !,8,-0.38318133,-1.6068476
00:01:10.885000,so handsome,9,0.1741701,0.77858996
00:01:10.918000,hi,1,-0.86891156,-0.3875266
00:01:11.036000,hey !,8,-0.2248543,-1.1769686
00:01:11.075000,the bandaid,9,0.38826627,1.2673965
00:01:11.129000,byee,6,-1.0261871,-1.3530288
00:01:11.778000,hello sy !,8,-0.055691127,-1.6498374
00:01:11.795000,hello syk,8,-0.51453364,-1.1105992
00:01:11.802000,wow you look great today,15,1.07891,0.52897334
00:01:12,what happened with your neck syk ?,11,1.4550112,0.037890077
00:01:12.188000,are you okay ?,11,1.3776151,0.29392362
00:01:12.191000,nice sweater !,5,0.1781733,-0.75231606
00:01:12.322000,h\1\1,6,-0.9812609,-0.7538617
00:01:12.346000,good afternoon !,5,0.4308324,-0.49027783
00:01:12.355000,hai everyone !,8,0.2134151,-1.7272412
00:01:12.427000,hi,1,-0.86891156,-0.3875266
00:01:12.427000,h\1\1,6,-0.9812609,-0.7538617
00:01:12.447000,h\1\1,6,-0.9812609,-0.7538617
